case_number,trip_duration_days,miles_traveled,total_receipts_amount,expected_output,algorithm_result,absolute_error,error_percentage
125,9,194.34,1054.93,1374.9,1363.66,11.240000000000009,0.8175140010182564
2,1,55,3.6,126.06,114.8,11.260000000000005,8.932254481992706
3,1,47,17.97,128.91,117.19,11.719999999999999,9.091614304553563
448,5,392,1264.6,1465.72,1453.66,12.059999999999945,0.8228038097317323
34,5,446,219.98,788.62,776.52,12.100000000000023,1.534325784281406
262,11,1126,1593.03,2143.74,2155.93,12.190000000000055,0.568632390121939
226,2,941,1565.77,1432.79,1445.6,12.809999999999945,0.8940598412886707
40,5,249,873.75,1185.24,1172.32,12.920000000000073,1.0900745840504937
307,11,265,218.66,949.34,935.61,13.730000000000018,1.4462679335117048
235,12,96,1164.37,1553.21,1539.38,13.829999999999927,0.890414045750409
485,6,1198,222.6,1107.96,1121.96,14.0,1.2635835228708618
95,1,362.79,749.19,636.51,622.43,14.080000000000041,2.212062654160978
988,11,176,1050.67,1444.13,1458.39,14.259999999999991,0.9874457285701419
308,10,223,886.32,1305.54,1319.83,14.289999999999964,1.0945662331295836
36,5,324,128.94,686.54,700.88,14.340000000000032,2.088734815160083
38,5,367,290.78,742.25,727.54,14.710000000000036,1.9818120579319685
926,4,477,18.97,631.5,616.66,14.840000000000032,2.3499604117181367
442,14,487,579.29,1516.68,1501.79,14.8900000000001,0.9817496109924374
667,4,348,2047.08,1507.04,1491.99,15.049999999999955,0.9986463531160391
17,1,133,8.34,179.06,163.97,15.090000000000003,8.427342790126216
181,12,757,897.4,1780.07,1795.37,15.299999999999955,0.8595167605768287
75,1,815,97.89,539.36,554.95,15.590000000000032,2.8904627706911956
5,3,88,5.78,380.37,364.49,15.879999999999995,4.174882351394693
77,7,817,1127.87,1809.91,1793.67,16.24000000000001,0.897282185302032
131,9,849,1007.41,1785.47,1769.02,16.450000000000045,0.9213260374019192
570,2,1029,1702.6,1577.55,1561.05,16.5,1.0459256441951126
287,12,734,2491.82,1792.31,1774.74,17.569999999999936,0.9802991669967771
956,7,756,1473.59,1961.96,1979.75,17.789999999999964,0.9067463149095784
374,14,81,1251.97,1682.62,1700.65,18.0300000000002,1.071543188598745
567,12,1077,32.55,1387.43,1369.14,18.289999999999964,1.318264705246388
519,1,797,126.8,543.18,562.2,19.020000000000095,3.5016016790014537
246,12,49,1118.38,1494.81,1475.7,19.1099999999999,1.2784233447729076
4,2,13,4.67,203.52,183.64,19.880000000000024,9.7680817610063
739,9,131,1990,1557.2,1577.77,20.569999999999936,1.3209606986899523
259,4,725,588.9,1097.95,1119.09,21.139999999999873,1.9254064392731793
764,9,223,1916.03,1623.73,1602.42,21.309999999999945,1.3124103145227313
836,11,913,2253.41,1758.56,1780.06,21.5,1.2225912109908108
196,5,285,974.73,1282.84,1260.27,22.569999999999936,1.7593776308814768
546,10,5,836.86,1116.56,1139.15,22.590000000000146,2.023178333452761
437,4,256,2218.74,1476.03,1499.02,22.99000000000001,1.5575564182299824
848,6,1148,1525.81,1776.48,1753.36,23.12000000000012,1.3014500585427429
247,2,18,2503.46,1206.95,1183.8,23.15000000000009,1.9180579145780763
135,7,1010,1514.03,2063.98,2087.31,23.329999999999927,1.1303404102752899
759,1,893,19.76,570.71,547.08,23.629999999999995,4.140456624204936
189,2,958,1855.58,1549.54,1573.25,23.710000000000036,1.5301315229035737
765,6,522,1210.87,1577.01,1553.04,23.970000000000027,1.5199649970513838
643,12,1003,983.23,1996.18,2020.27,24.089999999999918,1.2068049975453072
8,1,140,22.71,199.68,175.35,24.330000000000013,12.184495192307699
548,8,482,1411.49,631.81,606.93,24.879999999999995,3.9378927209129326
876,13,8,78.44,713.71,738.8,25.089999999999918,3.5154334393521056
76,1,601,497.7,644.12,669.25,25.129999999999995,3.90144693535366
841,5,117,953.06,1116.8,1142.03,25.230000000000018,2.2591332378223514
577,2,785,1964.63,1522.76,1497.5,25.25999999999999,1.6588300191757066
447,10,683,2442.92,1643.68,1618.34,25.340000000000146,1.5416626107271576
15,1,141,10.15,195.14,169.67,25.47,13.052167674490109
461,3,200,58.24,494.63,469.12,25.50999999999999,5.157390372601741
11,2,202,21.24,356.17,330.62,25.55000000000001,7.173540724934726
302,3,70,631.88,564.16,538.56,25.600000000000023,4.537719795802613
317,13,658,559.48,1573.12,1547.5,25.61999999999989,1.6286106590724096
6,1,76,13.74,158.35,132.47,25.879999999999995,16.34354278497
599,3,1158,1107.4,1361.3,1387.45,26.15000000000009,1.9209579078821784
283,5,72,977.67,1156.55,1130.13,26.419999999999845,2.28438026890319
301,1,181,128.05,225.12,252.62,27.5,12.215707178393744
911,4,840,1375.42,1580.95,1552.97,27.980000000000018,1.7698219425029267
71,7,624,148.16,905.79,877.56,28.230000000000018,3.1166164342728466
96,1,288.72,159.26,303.94,332.86,28.920000000000016,9.515035862341255
359,10,796,1352.08,2000.19,2029.78,29.589999999999918,1.479359460851215
266,10,976,2166.02,1775.03,1745.43,29.59999999999991,1.6675774493952165
151,12,528,2476.41,1662.88,1632.86,30.02000000000021,1.805301645338221
963,4,333,1934.76,1467.52,1437.01,30.50999999999999,2.079017662450937
782,2,1155,1517.18,1543.17,1573.82,30.649999999999864,1.9861713226669686
25,5,708,1129.52,1654.62,1623.15,31.4699999999998,1.9019472749029869
316,12,229,1216.16,1696.65,1664.74,31.910000000000082,1.880765036984651
229,1,458,834.7,737.28,705.21,32.069999999999936,4.349772135416658
709,12,893,910.41,1862.13,1895.6,33.4699999999998,1.797404048052488
37,5,414,967,1368.94,1335.23,33.710000000000036,2.4624892252399695
165,5,873,1402.35,1676.79,1710.56,33.76999999999998,2.0139671634492085
10,3,117,21.99,359.1,392.89,33.789999999999964,9.409635199108871
776,11,293,285.14,966.87,1000.91,34.039999999999964,3.520638762191397
405,5,1160,1901.83,1673.89,1708.1,34.20999999999981,2.0437424203501906
929,13,70,993.7,1492.02,1457.49,34.52999999999997,2.314312140587926
867,13,858,2258.01,1889.71,1854.36,35.350000000000136,1.8706574024585854
869,4,198,2106.63,1450.67,1415.31,35.36000000000013,2.4374943991397164
967,11,322,1251.3,1732.46,1696.65,35.809999999999945,2.067002989968019
856,7,868,625.09,1403.48,1439.89,36.41000000000008,2.594265682446496
718,7,709,320.8,1116.62,1079.95,36.669999999999845,3.2840178395514905
20,2,147,17.43,325.56,288.86,36.69999999999999,11.272883646639633
30,5,811,952.39,1608.6,1571.87,36.73000000000002,2.2833519830908875
335,9,1155,1346.4,2248.12,2211.33,36.789999999999964,1.6364784797964507
840,4,842,893.25,1324.64,1361.44,36.799999999999955,2.77811329870757
45,12,333,1103.21,1618.13,1655.36,37.22999999999979,2.300804014510564
815,4,380,446.66,764.24,802.6,38.360000000000014,5.019365644300222
355,10,860,2380.76,1759.97,1721.39,38.57999999999993,2.1920828195935114
239,13,19,807.27,1331.53,1292.82,38.710000000000036,2.9071819636057796
32,5,730,485.73,991.49,952.6,38.889999999999986,3.9223794491119417
412,2,933,1589.58,1489.99,1449.6,40.3900000000001,2.7107564480298594
312,3,621,214.08,779.66,820.33,40.67000000000007,5.2163763691865785
26,5,261,464.94,621.12,661.82,40.700000000000045,6.552679031427107
568,12,211,749.56,1285.23,1326.06,40.82999999999993,3.1768632851707417
61,6,855,591.35,1339.72,1380.95,41.23000000000002,3.0775087331681257
178,4,470,1968.63,1501.1,1542.35,41.25,2.7479848111384984
729,10,5,1094.06,1361.08,1319.19,41.88999999999987,3.0777030005583708
449,10,175,1443.25,1635.5,1677.53,42.02999999999997,2.5698563130541103
333,10,1083,2105.36,1844.58,1801.95,42.62999999999988,2.311095208665381
100,1,252.75,285.5,331.74,374.4,42.65999999999997,12.859468258274543
119,9,310.69,239.64,828.16,870.91,42.75,5.162045981452859
871,14,1020,1201.75,2337.73,2294.62,43.11000000000013,1.844096623647732
70,7,748,241.73,971.31,1014.53,43.22000000000003,4.449660767417202
364,5,467,1243.31,1549.82,1506.55,43.26999999999998,2.7919371281826266
143,6,909,1332.18,1720.21,1676.88,43.32999999999993,2.5188785090192436
879,13,511,1628.33,1915.79,1871.53,44.25999999999999,2.3102740905840404
232,12,211,1048.29,1579.73,1535.17,44.559999999999945,2.820735188924686
843,9,51,314.81,704.94,749.54,44.59999999999991,6.326779584078064
655,9,463,1024.53,1476.48,1522.38,45.90000000000009,3.108745123537067
877,11,684,672.51,1487.93,1534.04,46.1099999999999,3.0989361058651888
376,11,496,373.98,1152.99,1199.11,46.11999999999989,4.000034692408424
880,4,231,20.39,499.26,453.12,46.139999999999986,9.241677682970796
640,3,1109,2092.26,1436.66,1390.14,46.51999999999998,3.238066069912156
441,6,690,1009.37,1559.83,1606.8,46.97000000000003,3.0112255822749936
641,7,753,358.13,1084.79,1132.68,47.8900000000001,4.414679338858222
894,5,716,1316.6,1686.98,1638.94,48.039999999999964,2.8476923259315443
583,10,1026,828.82,1865.67,1817.59,48.080000000000155,2.577090267839444
549,4,11,312.01,426.22,474.58,48.35999999999996,11.346253108723184
129,6,135.34,1144.13,1478.11,1429.31,48.799999999999955,3.301513419163659
757,5,919,470.23,1119.17,1069.78,49.3900000000001,4.413091844849316
785,4,422,2049.71,1491.9,1542.62,50.7199999999998,3.399691668342369
565,13,1054,1131.25,2162.03,2213.06,51.029999999999745,2.360281772223315
602,11,1156,2231.86,1988.56,1937.49,51.069999999999936,2.568190047069233
648,13,1167,1074.36,2197.33,2248.94,51.61000000000013,2.3487596310067276
666,7,1168,667.94,1639.55,1587.74,51.809999999999945,3.160013418315998
494,14,616,2374.41,1828.37,1776.32,52.049999999999955,2.846797967588615
350,5,116,478.1,624.04,571.92,52.120000000000005,8.352028716107943
968,13,11,1114.96,1555.48,1502.84,52.6400000000001,3.384164373698158
547,3,80,517.54,457.49,511.26,53.76999999999998,11.75326236639052
637,9,101,950.23,1281.64,1227.83,53.81000000000017,4.1985268874254995
597,1,547,573.6,616.27,670.88,54.610000000000014,8.861375695717788
176,10,164,1144.9,1516.43,1461.31,55.12000000000012,3.63485291111361
478,13,1062,869.28,2090.54,2035.04,55.5,2.654816458905355
435,12,10,1203.1,1564.9,1508.87,56.0300000000002,3.5804204741517154
330,6,818,1130.38,1704.06,1647.76,56.299999999999955,3.303874276727343
970,5,247,296.51,594.93,653.14,58.210000000000036,9.784344376649361
721,2,570,2297.12,1423.86,1482.15,58.29000000000019,4.093801356874987
622,6,344,233.31,800.18,859.39,59.210000000000036,7.399585093354
779,11,859,146.71,1267.98,1327.24,59.25999999999999,4.673575292985693
775,9,803,880.17,1589.75,1649.13,59.38000000000011,3.7351784871835263
147,6,907,1650.17,1737.86,1676.24,61.61999999999989,3.545740163189204
334,13,529,1767.79,2015.18,1953.33,61.850000000000136,3.069204736053362
134,9,1182,1342.24,2164.15,2226.51,62.36000000000013,2.8815008201834496
787,4,205,545.57,682.22,744.69,62.47000000000003,9.156870217818302
696,14,269,1349.61,1832.34,1894.96,62.62000000000012,3.4174880207821756
878,4,180,2365.46,1443.02,1506.78,63.75999999999999,4.418511177946251
783,5,765,480.48,1038.42,974.3,64.12000000000012,6.174765509138895
503,12,218,901.03,1371.86,1436.78,64.92000000000007,4.7322613094630706
314,4,448,2055.97,1497.46,1562.55,65.08999999999992,4.346693734724127
740,6,836,2035.17,1718.79,1653.52,65.26999999999998,3.797438895967511
198,9,118,1285.82,1539.77,1474.13,65.63999999999987,4.262974340323546
310,11,498,1578.39,1793.52,1727.86,65.66000000000008,3.6609572237834023
949,4,932,1287.34,1513.28,1579.38,66.10000000000014,4.367995347853678
862,10,955,1182.33,1950.3,2017.48,67.18000000000006,3.4445982669332955
205,1,214,540.03,402.81,470.41,67.60000000000002,16.78210570740548
816,9,238,1197.83,1560.78,1492.94,67.83999999999992,4.346544676379754
590,13,1140,1607.8,2214.64,2282.7,68.05999999999995,3.073185709641294
474,11,741,1207.39,1878.06,1946.64,68.58000000000015,3.651640522667016
9,3,121,21.17,464.07,395.28,68.79000000000002,14.823194776650078
605,11,654,1516.42,1870.43,1801.39,69.03999999999996,3.691129847147445
556,10,793,1422.29,2007.62,2076.91,69.28999999999996,3.4513503551468885
418,5,828,1606.84,1690.82,1621.31,69.50999999999999,4.11102305390284
551,13,632,268.91,1396.28,1326.68,69.59999999999991,4.984673561176835
439,2,1175,816.2,1237.62,1307.23,69.61000000000013,5.6245050984955105
158,11,558,1549.86,1823.47,1753.79,69.68000000000006,3.821285790278977
653,9,1063,2497.79,1761.94,1831.66,69.72000000000003,3.957001941042262
715,7,738,730.28,1429.72,1499.58,69.8599999999999,4.886271437764031
110,1,264.39,758.27,636.19,566.12,70.07000000000005,11.014005250003937
175,4,87,2463.92,1413.52,1483.86,70.33999999999992,4.976229554587124
972,11,1095,1071.83,2159.33,2088.93,70.40000000000009,3.260270546882602
313,6,1193,2241.5,1839.47,1767.76,71.71000000000004,3.898405518981013
515,4,463,1963.41,1607.34,1535.57,71.76999999999998,4.465141164905993
755,2,752,958.29,1144.41,1072.2,72.21000000000004,6.3098015571342465
224,5,516,1450.67,1547.5,1474.72,72.77999999999997,4.7030694668820665
553,11,527,1550.32,1806.06,1733.25,72.80999999999995,4.031427527324671
124,9,97.85,518.56,850.57,923.55,72.9799999999999,8.580128619631529
914,13,1055,2005.84,1997.52,1923.31,74.21000000000004,3.7151067323481133
884,7,316,141.89,837.8,763.49,74.30999999999995,8.869658629744563
209,13,534,1765.96,1881.36,1955.76,74.40000000000009,3.9545860441382876
935,7,759,1694.02,1960.92,2035.45,74.52999999999997,3.8007669869245033
132,6,806,1760.64,1718.76,1643.92,74.83999999999992,4.3543019386068975
256,9,576,1059.79,1547.5,1622.77,75.26999999999998,4.863974151857834
360,9,72,1281.32,1515.54,1440.16,75.37999999999988,4.973804716470689
497,3,1187,1632.14,1451.85,1375.72,76.12999999999988,5.243654647518675
339,6,659,322.1,972.58,1048.98,76.39999999999998,7.855394928951857
684,8,795,1645.99,644.69,721.12,76.42999999999995,11.855310304177193
289,9,497,1845.08,1674.09,1750.53,76.44000000000005,4.56606275648263
930,12,59,858.62,1377.35,1300.56,76.78999999999996,5.575198751225177
91,1,344.46,813.85,707.88,630.83,77.04999999999995,10.884613211278742
722,9,13,986.41,1271.52,1194.2,77.31999999999994,6.080911035610917
737,9,483,52.64,949.04,871.25,77.78999999999996,8.196704037764475
47,9,218,1203.45,1561.63,1483.47,78.16000000000008,5.005026798921644
169,7,948,657.17,1578.97,1499.97,79.0,5.003261619916781
454,13,889,232.72,1394.38,1473.53,79.14999999999986,5.67635795120411
763,7,950,1739.62,2032.23,2111.42,79.19000000000005,3.8967046052858216
918,5,517,919.25,1288.31,1368.05,79.74000000000001,6.189504078987201
109,1,388.1,827.37,741.46,661.07,80.38999999999999,10.842122299247428
217,3,307,266.21,540.97,621.38,80.40999999999997,14.864040519807006
663,4,159,568.58,647,727.68,80.67999999999995,12.469860896445123
670,4,672,1603.52,1612.43,1531.65,80.77999999999997,5.009829884087989
251,14,807,2358.41,1819.41,1900.29,80.87999999999988,4.445397134235817
148,9,816,1171.81,1780.58,1861.99,81.41000000000008,4.5721057183614375
961,2,826,2163.39,1523.26,1605.3,82.03999999999996,5.385817260349511
932,3,275,543.74,572.73,655.62,82.88999999999999,14.472788224817974
703,5,691,1030.64,1465.26,1548.34,83.07999999999993,5.669983484159803
608,5,96,1105.47,1312.16,1228.08,84.08000000000015,6.4077551518107665
784,9,1097,2330.2,1728.07,1812.54,84.47000000000003,4.888112171381948
773,4,275,2359.64,1483.58,1568.11,84.52999999999997,5.697704201997868
647,4,18,289.06,380.88,465.5,84.62,22.216971224532664
529,12,1070,1055.51,2030.76,2115.76,85.00000000000023,4.185625086174646
607,12,713,1642.01,1873.19,1958.72,85.52999999999997,4.566007719451842
736,11,532,2419.86,1653.69,1566.41,87.27999999999997,5.277893680193989
188,6,1043,1404.35,1807.42,1719.76,87.66000000000008,4.850007192572843
958,9,800,39.96,1158.68,1070.96,87.72000000000003,7.570683881658441
586,14,865,2497.16,1885.87,1973.84,87.97000000000003,4.664690567218314
409,14,414,1919.7,1918.89,2007.23,88.33999999999992,4.603703182569085
818,12,710,1249.41,1921.09,2010.29,89.20000000000005,4.643197351503576
191,6,45,81.59,522.58,611.99,89.40999999999997,17.109342110298893
185,5,291,1279.7,1477.12,1386.51,90.6099999999999,6.134234185441935
754,13,564,2245.56,1745.09,1654.27,90.81999999999994,5.204316109770839
866,10,895,937.46,1714.8,1805.87,91.06999999999994,5.310823419640771
593,12,482,1710.47,1746.74,1838.18,91.44000000000005,5.234894718160691
87,9,397,348.49,913.29,1004.93,91.63999999999999,10.03405271053006
234,9,662,2275.59,1599.27,1507.44,91.82999999999993,5.741994785120707
619,6,470,2235.72,1628.6,1536.4,92.19999999999982,5.66130418764582
194,6,333,1254.68,1585.02,1492.56,92.46000000000004,5.833364878676612
712,14,904,2005.96,1970.01,1877.17,92.83999999999992,4.71266643316531
710,14,113,1091.13,1703.02,1609.5,93.51999999999998,5.491421122476541
908,5,840,941.55,1676.48,1582.81,93.67000000000007,5.587301966024055
557,13,32,232.43,805.12,899.14,94.01999999999998,11.677762321144671
566,10,872,2191.27,1776.62,1682.06,94.55999999999995,5.322466256149315
469,4,627,956.98,1337.63,1242.88,94.75,7.083423667232343
453,7,194,202.49,686.23,781.39,95.15999999999997,13.867070807163772
580,10,877,1711.12,1897.37,1993.15,95.7800000000002,5.048040181936059
762,5,332,218.03,801.73,705.84,95.88999999999999,11.96038566599728
146,6,1006,1219.71,1803.97,1707.92,96.04999999999995,5.324367921861225
659,10,631,1220.71,1730.86,1827.27,96.41000000000008,5.570063436673104
154,13,756,954.4,1793.07,1889.6,96.52999999999997,5.383504269214252
760,12,37,52.65,789.01,692.44,96.56999999999994,12.239388600904924
777,6,164,1460.21,1535.3,1438.48,96.81999999999994,6.306259362990943
960,13,997,920.48,2124.16,2027.33,96.82999999999993,4.558507833684842
35,5,751,407.43,1063.46,965.62,97.84000000000003,9.200157974912083
644,3,269,708.05,799.12,700.71,98.40999999999997,12.31479627590349
795,10,150,418.41,844.9,943.39,98.49000000000001,11.657000828500417
183,2,456,2390.7,1342.39,1440.92,98.52999999999997,7.339893771556699
228,7,273,285.83,793.58,892.38,98.79999999999995,12.44991053201945
514,9,1064,2016.76,1810.94,1712.07,98.87000000000012,5.459595569151938
445,11,708,1871.77,1916.37,2015.25,98.88000000000011,5.159755162103358
578,5,104,281.67,464.68,564.48,99.80000000000001,21.47714556253766
948,4,263,2469.06,1503.98,1603.83,99.84999999999991,6.639051051210782
901,4,6,458.7,459.21,559.24,100.03000000000003,21.783062215544096
691,4,197,1858.84,1416.33,1315.53,100.79999999999995,7.116985448306536
483,6,957,727.75,1448.72,1549.99,101.26999999999998,6.990308686288585
852,5,14,78.33,406.7,508.68,101.98000000000002,25.07499385296288
69,3,842,865.37,1251.14,1149.01,102.13000000000011,8.162955384689171
378,5,1014,1853.57,1749.31,1646.54,102.76999999999998,5.874887812909089
875,5,908,716.7,1375.88,1478.82,102.93999999999983,7.4817571299822525
842,12,307,957.17,1432.75,1535.71,102.96000000000004,7.1861804222648775
635,13,694,1054.31,1815.02,1918.0,102.98000000000002,5.673766680256968
630,10,625,519.94,1229.41,1332.71,103.29999999999995,8.402404405365171
534,6,367,1947.68,1606.76,1503.44,103.31999999999994,6.430331847942439
533,2,543,103.37,544.12,648.04,103.91999999999996,19.098728221715792
1000,3,399,141.39,546.04,649.99,103.95000000000005,19.037066881547148
363,5,230,333.69,538.36,642.6,104.24000000000001,19.362508358719076
277,4,305,125.79,664.43,559.82,104.6099999999999,15.74432220098429
650,6,930,1907.95,1788.75,1683.6,105.15000000000009,5.878406708595393
738,12,296,326.83,981.72,1087.1,105.37999999999988,10.734221570305166
965,12,466,1291.33,1770.37,1876.15,105.7800000000002,5.975022170506742
915,1,931,327.97,609.73,716.38,106.64999999999998,17.491348629721347
204,12,1065,203.2,1408.25,1515.79,107.53999999999996,7.636428191017218
682,6,420,386.77,929.16,1037.17,108.0100000000001,11.624478023160716
433,14,600,1120.05,1847.84,1956.03,108.19000000000005,5.854944151008748
997,11,636,2238.97,1699.94,1590.86,109.08000000000015,6.416697059896241
526,12,380,1526.79,1787.41,1677.99,109.42000000000007,6.121706827196897
24,5,679,476.08,1030.41,920.98,109.43000000000006,10.6200444483264
564,3,771,725.67,1166.93,1057.4,109.52999999999997,9.386167122278112
222,14,47,1667.14,1745.18,1635.06,110.12000000000012,6.309950836016921
33,5,262,1173.79,1485.59,1375.4,110.18999999999983,7.417255097301398
826,3,154,274.04,406.91,517.42,110.50999999999993,27.158339681993542
245,11,332,1352.48,1663.39,1774.18,110.78999999999996,6.660494532250402
380,5,654,1272.89,1724.68,1613.61,111.07000000000016,6.440035252916493
609,7,1054,576.47,1344.18,1456.37,112.18999999999983,8.346352423038567
882,9,578,1167.71,1587.21,1699.66,112.45000000000005,7.08475879058222
150,6,835,1404.28,1765.79,1653.2,112.58999999999992,6.376182898306136
717,5,831,432.8,901.36,1015.22,113.86000000000001,12.632022721221267
756,11,293,1410,1673.7,1788.31,114.6099999999999,6.847702694628661
805,13,36,808.38,1190.16,1304.99,114.82999999999993,9.648282583854265
300,9,868,62.12,1022.81,1138.68,115.87000000000012,11.328594753668826
897,3,504,63.39,568.17,684.5,116.33000000000004,20.474505869722098
664,1,292,449.83,363.02,480.12,117.10000000000002,32.25717591317284
942,9,191,789.52,1058.5,1175.63,117.13000000000011,11.065658951346254
979,3,1136,1296.54,1536.6,1419.33,117.26999999999998,7.631784459195626
241,9,963,588.5,1434.42,1552.16,117.74000000000001,8.208195647021096
293,11,1116,2067.8,1987.44,1869.67,117.76999999999998,5.925713480658534
719,9,1078,161.85,1260.96,1379.11,118.14999999999986,9.369845197309976
981,1,1122,861.5,1081.05,962.85,118.19999999999993,10.933814347162475
987,12,643,2194.16,1758.03,1639.35,118.68000000000006,6.750738042012938
493,6,323,1477.23,1608.55,1489.36,119.19000000000005,7.40977899350347
598,10,5,1338.9,1610.25,1490.58,119.67000000000007,7.431765253842576
905,13,618,1982.27,2000.39,2120.19,119.79999999999995,5.988832177725341
845,13,922,1510.22,1967.87,2087.85,119.98000000000002,6.096947460960329
936,10,174,1991.96,1542.4,1662.56,120.15999999999985,7.79045643153526
171,4,362,646.43,788.53,910.4,121.87,15.45534095088329
554,5,948,898.6,1499.68,1621.85,122.16999999999985,8.146404566307467
429,10,1009,2164.22,1889.87,1767.09,122.77999999999997,6.496743162228088
451,13,799,951.92,1793.36,1916.67,123.31000000000017,6.875920060668253
97,2,782.17,830.72,1165.44,1041.99,123.45000000000005,10.592565897858323
645,14,646,2418.19,1931.21,1807.37,123.84000000000015,6.412560001242753
563,5,716,1111.23,1492.08,1616.22,124.1400000000001,8.31992922631495
107,3,859.12,611.07,960.47,1084.7,124.23000000000002,12.934292585921478
248,14,592,1268.36,1930.24,2054.49,124.24999999999977,6.437023375331553
396,11,815,2385.6,1872.44,1747.45,124.99000000000001,6.6752472709405914
342,6,628,311.47,903.3,1028.43,125.13000000000011,13.852540684158098
778,12,675,2277.93,1807.33,1681.73,125.59999999999991,6.949477959199478
140,6,811,1252.04,1771.8,1645.52,126.27999999999997,7.1272152613161746
225,6,471,332.51,872.19,999.23,127.03999999999996,14.565633634873128
336,7,1185,1768.01,2072.18,2199.35,127.17000000000007,6.137015124168753
105,1,276.85,485.54,361.66,488.88,127.21999999999997,35.17668528452136
379,9,686,145.66,972.95,1100.28,127.32999999999993,13.087003443136844
324,7,1126,1103.75,2014.72,1887.35,127.37000000000012,6.321970298602293
974,9,14,1057.38,1372.31,1244.55,127.75999999999999,9.309849815274974
353,2,660,1944.4,1531.2,1403.16,128.03999999999996,8.362068965517238
860,9,482,1348.44,1633.26,1761.85,128.58999999999992,7.873210633946826
444,13,360,271.93,1017.64,1146.55,128.90999999999997,12.667544514759637
651,5,714,617.72,1164.2,1294.2,130.0,11.166466242913588
803,7,568,159.12,738.92,868.92,130.0,17.593244194229417
888,11,663,2141.08,1715.29,1584.48,130.80999999999995,7.62611570055209
741,10,532,1223.36,1631.49,1762.79,131.29999999999995,8.047858092908932
802,6,751,2085.98,1757.81,1626.32,131.49,7.480330638692465
687,12,916,2394.85,1740.85,1872.43,131.58000000000015,7.558376655082297
976,6,135,2488.22,1561.2,1429.2,132.0,8.455034588777863
891,7,125,193.62,616.24,748.37,132.13,21.44132156302739
210,6,475,1800.71,1671.23,1538.0,133.23000000000002,7.9719727386416
994,5,567,193.11,718.3,851.54,133.24,18.549352638173467
531,11,456,2223.72,1600.1,1466.45,133.64999999999986,8.352602962314847
459,9,524,136.46,848.89,982.54,133.64999999999998,15.744089340197196
610,12,495,1948.13,1831.92,1965.72,133.79999999999995,7.303812393554302
